0.004  0.16079
0.012  0.157977
0.02  0.162134
0.028  0.155793
0.036  0.164351
0.044  0.162554
0.052  0.15788
0.06  0.159613
0.068  0.16511
0.076  0.164937
0.084  0.160114
0.092  0.160398
0.1  0.162827
0.108  0.16577
0.116  0.166856
0.124  0.162958
0.132  0.162729
0.14  0.16359
0.148  0.165089
0.156  0.166823
0.164  0.168848
0.172  0.166291
0.18  0.165521
0.188  0.165533
0.196  0.166498
0.204  0.167661
0.212  0.169011
0.22  0.170666
0.228  0.169774
0.236  0.168486
0.244  0.168369
0.252  0.169066
0.26  0.169858
0.268  0.170705
0.276  0.171816
0.284  0.172981
0.292  0.173116
0.3  0.171887
0.308  0.171852
0.316  0.172287
0.324  0.172865
0.332  0.173457
0.34  0.174278
0.348  0.175254
0.356  0.176269
0.364  0.176595
0.372  0.17569
0.38  0.175711
0.388  0.17604
0.396  0.176532
0.404  0.177079
0.412  0.177804
0.42  0.178629
0.428  0.179454
0.436  0.180279
0.444  0.180366
0.452  0.179919
0.46  0.180042
0.468  0.180473
0.476  0.180967
0.484  0.181498
0.492  0.182182
0.5  0.182889
0.508  0.183596
0.516  0.184308
0.524  0.185042
0.532  0.184662
0.54  0.184838
0.548  0.18516
0.556  0.18564
0.564  0.186145
0.572  0.186721
0.58  0.187361
0.588  0.188012
0.596  0.188691
0.604  0.189397
0.612  0.190138
0.62  0.190008
0.628  0.190273
0.636  0.190635
0.644  0.191131
0.652  0.191654
0.66  0.192224
0.668  0.192859
0.676  0.193512
0.684  0.194168
0.692  0.194836
0.7  0.195556
0.708  0.196008
0.716  0.196129
0.724  0.196536
0.732  0.197045
0.74  0.19761
0.748  0.198186
0.756  0.198819
0.764  0.199469
0.772  0.200119
0.78  0.200769
0.788  0.201458
0.796  0.202159
0.804  0.20257
0.812  0.202954
0.82  0.203467
0.828  0.204077
0.836  0.204692
0.844  0.205316
0.852  0.205984
0.86  0.20665
0.868  0.207315
0.876  0.207984
0.884  0.208684
0.892  0.209389
0.9  0.209939
0.908  0.210446
0.916  0.2111
0.924  0.21179
0.932  0.212464
0.94  0.213145
0.948  0.213854
0.956  0.214554
0.964  0.215254
0.972  0.215959
0.98  0.216691
0.988  0.217424
0.996  0.218109
1.004  0.218689
1.012  0.219528
1.02  0.220306
1.028  0.221066
1.036  0.22182
1.044  0.222587
1.052  0.223344
1.06  0.224101
1.068  0.224864
1.076  0.225641
1.084  0.226415
1.092  0.227186
1.1  0.227852
1.108  0.228906
1.116  0.229807
1.124  0.230679
1.132  0.231524
1.14  0.232375
1.148  0.233214
1.156  0.234047
1.164  0.234881
1.172  0.235724
1.18  0.23656
1.188  0.237387
1.196  0.23818
1.204  0.239473
1.212  0.240533
1.22  0.241545
1.228  0.242503
1.236  0.243466
1.244  0.244409
1.252  0.245336
1.26  0.246262
1.268  0.247193
1.276  0.248112
1.284  0.249015
1.292  0.25003
1.3  0.251583
1.308  0.252836
1.316  0.253996
1.324  0.255096
1.332  0.256199
1.34  0.25726
1.348  0.258304
1.356  0.259347
1.364  0.260393
1.372  0.261413
1.38  0.26238
1.388  0.26413
1.396  0.265752
1.404  0.267207
1.412  0.268504
1.42  0.269781
1.428  0.27104
1.436  0.272233
1.444  0.273424
1.452  0.274614
1.46  0.275798
1.468  0.276908
1.476  0.278949
1.484  0.280966
1.492  0.282712
1.5  0.284253
1.508  0.285755
1.516  0.287232
1.524  0.288619
1.532  0.289996
1.54  0.291372
1.548  0.292742
1.556  0.294359
1.564  0.297267
1.572  0.299434
1.58  0.301393
1.588  0.303209
1.596  0.304994
1.604  0.306677
1.612  0.308303
1.62  0.309919
1.628  0.311534
1.636  0.313855
1.644  0.317355
1.652  0.320002
1.66  0.322326
1.668  0.324523
1.676  0.326699
1.684  0.328693
1.692  0.330635
1.7  0.332574
1.708  0.335282
1.716  0.339871
1.724  0.343217
1.732  0.346135
1.74  0.348844
1.748  0.351546
1.756  0.354041
1.764  0.356414
1.772  0.359163
1.78  0.365316
1.788  0.369795
1.796  0.373705
1.804  0.377156
1.812  0.380573
1.82  0.383817
1.828  0.386848
1.836  0.394087
1.844  0.400857
1.852  0.406428
1.86  0.411014
1.868  0.415507
1.876  0.419871
1.884  0.427415
1.892  0.438398
1.9  0.44646
1.908  0.453217
1.916  0.459401
1.924  0.468204
1.932  0.486327
1.94  0.498666
1.948  0.509222
1.956  0.521272
1.964  0.553239
1.972  0.574685
1.98  0.599829
1.988  0.669421
1.996  0.796929
2.004  0.796929
2.012  0.669421
2.02  0.599828
2.028  0.574685
2.036  0.553238
2.044  0.521272
2.052  0.509222
2.06  0.498666
2.068  0.486327
2.076  0.468204
2.084  0.459401
2.092  0.453217
2.1  0.44646
2.108  0.438398
2.116  0.427415
2.124  0.419871
2.132  0.415507
2.14  0.411014
2.148  0.406428
2.156  0.400857
2.164  0.394087
2.172  0.386848
2.18  0.383817
2.188  0.380573
2.196  0.377156
2.204  0.373705
2.212  0.369795
2.22  0.365316
2.228  0.359163
2.236  0.356414
2.244  0.354041
2.252  0.351546
2.26  0.348844
2.268  0.346135
2.276  0.343217
2.284  0.339871
2.292  0.335282
2.3  0.332574
2.308  0.330635
2.316  0.328693
2.324  0.326699
2.332  0.324523
2.34  0.322326
2.348  0.320002
2.356  0.317355
2.364  0.313855
2.372  0.311534
2.38  0.309919
2.388  0.308303
2.396  0.306677
2.404  0.304994
2.412  0.303209
2.42  0.301393
2.428  0.299434
2.436  0.297267
2.444  0.294359
2.452  0.292742
2.46  0.291372
2.468  0.289996
2.476  0.288619
2.484  0.287232
